"X","title","console","genre","critic_score","total_sales"
1,"Grand Theft Auto V","PS3","Action",9.4,20.32
2,"Grand Theft Auto V","PS4","Action",9.7,19.39
3,"Grand Theft Auto: Vice City","PS2","Action",9.6,16.15
5,"Call of Duty: Black Ops 3","PS4","Shooter",8.1,15.09
6,"Call of Duty: Modern Warfare 3","X360","Shooter",8.7,14.82
7,"Call of Duty: Black Ops","X360","Shooter",8.8,14.74
8,"Red Dead Redemption 2","PS4","Action-Adventure",9.8,13.94
9,"Call of Duty: Black Ops II","X360","Shooter",8.4,13.86
10,"Call of Duty: Black Ops II","PS3","Shooter",8,13.8
11,"Call of Duty: Modern Warfare 2","X360","Shooter",9.5,13.53
12,"Call of Duty: WWII","PS4","Shooter",8.1,13.4
13,"Call of Duty: Modern Warfare 3","PS3","Shooter",8.8,13.35
14,"Grand Theft Auto III","PS2","Action",9.5,13.1
15,"Call of Duty: Black Ops","PS3","Shooter",8.7,12.67
16,"FIFA 18","PS4","Sports",8.3,11.8
17,"Grand Theft Auto IV","X360","Action",10,11.09
18,"FIFA 17","PS4","Sports",8.9,10.94
19,"Call of Duty: Modern Warfare 2","PS3","Shooter",9.5,10.61
20,"Grand Theft Auto IV","PS3","Action",10,10.57
21,"Call of Duty: Ghosts","X360","Shooter",6.9,10.41
22,"Call of Duty: Ghosts","PS3","Shooter",7.5,10.13
23,"Halo: Reach","X360","Shooter",9.3,9.97
25,"Call of Duty 4: Modern Warfare","X360","Shooter",9.6,9.41
28,"The Elder Scrolls V: Skyrim","X360","Role-Playing",9.3,8.88
29,"Grand Theft Auto V","XOne","Action",9,8.72
30,"Call of Duty: Infinite Warfare","PS4","Shooter",7.9,8.48
31,"Fallout 4","PS4","Role-Playing",8.6,8.48
32,"FIFA 16","PS4","Sports",8.5,8.22
33,"Star Wars Battlefront (2015)","PS4","Shooter",7.1,8.03
35,"The Sims 3","PC","Simulation",8.5,7.96
36,"Grand Theft Auto: Liberty City Stories","PSP","Action",8.8,7.72
37,"Call of Duty: Advanced Warfare","PS4","Shooter",8.5,7.53
38,"Call of Duty: World at War","X360","Shooter",8.5,7.5
40,"Battlefield 3","X360","Shooter",8.5,7.35
41,"Battlefield 1","PS4","Shooter",9.1,7.26
42,"Battlefield 3","PS3","Shooter",8.5,7.21
43,"Need for Speed Underground","PS2","Racing",8.6,7.2
44,"Need for Speed Underground 2","PS2","Racing",8.3,6.9
46,"Medal of Honor: Frontline","PS2","Shooter",9,6.83
