work_year,job_title,job_category,salary,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2023,Data Scientist,Data Science and Research,130000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,210000,United States,Executive,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,168000,United States,Executive,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,223400,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,186200,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,170884,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,113923,United States,Mid-level,Full-time,Remote,United States,M
2023,Research Scientist,Data Science and Research,165000,United States,Mid-level,Full-time,Remote,United States,M
2023,Research Scientist,Data Science and Research,118800,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,225000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,150000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,220000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,150000,United States,Senior,Full-time,Remote,United States,M
2023,Data Science Engineer,Data Science and Research,160000,United States,Senior,Full-time,Remote,United States,M
2023,Data Science Engineer,Data Science and Research,140000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,185900,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,129300,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,143000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,116000,United States,Senior,Full-time,Remote,United States,M
2023,Research Scientist,Data Science and Research,165000,United States,Mid-level,Full-time,Remote,United States,M
2023,Research Scientist,Data Science and Research,118800,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,220000,Canada,Mid-level,Full-time,Remote,Canada,M
2023,Data Engineer,Data Engineering,190000,Canada,Mid-level,Full-time,Remote,Canada,M
2023,Data Analyst,Data Analysis,137000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,110000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,172000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,146000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Scientist,Machine Learning and AI,180514,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Scientist,Machine Learning and AI,108308,United States,Senior,Full-time,Remote,United States,M
2023,Deep Learning Engineer,Machine Learning and AI,303387,Canada,Senior,Full-time,Remote,Canada,M
2023,Deep Learning Engineer,Machine Learning and AI,100017,Canada,Senior,Full-time,Remote,Canada,M
2023,Data Analyst,Data Analysis,110000,Poland,Senior,Full-time,Remote,Poland,M
2023,Data Analyst,Data Analysis,165000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,140000,United States,Senior,Full-time,Remote,United States,M
2023,Analytics Engineer,Leadership and Management,150000,United States,Mid-level,Full-time,Remote,United States,M
